model,variant,context,kappa
madlad,v0,with,-0.04651162790697683
madlad,v0,without,-0.08695652173913038
nllb,v0,with,-0.025641025641025772
nllb,v0,without,0.4736842105263158
phi-4,v0,with,-0.12359550561797761
phi-4,v0,without,-0.13636363636363624
phi-4_fewshot,v0,with,0.021739130434782483
phi-4_fewshot,v0,without,0.021739130434782483
phi-4,v1,with,-0.13636363636363624
phi-4,v1,without,-0.13636363636363624
phi-4_fewshot,v1,with,0.032258064516129115
phi-4_fewshot,v1,without,-0.12359550561797739
phi-4,v2,with,0.05882352941176472
phi-4,v2,without,0.1954022988505747
phi-4_fewshot,v2,with,0.05882352941176472
phi-4_fewshot,v2,without,0.09090909090909094
phi-4,v3,with,0.15662650602409645
phi-4,v3,without,0.2857142857142857
phi-4_fewshot,v3,with,0.0
phi-4_fewshot,v3,without,0.10112359550561778
qwen3,v0,with,0.042553191489361764
qwen3,v0,without,2.220446049250313e-16
qwen3_fewshot,v0,with,-0.098901098901099
qwen3_fewshot,v0,without,0.04761904761904745
qwen3,v1,with,0.06976744186046513
qwen3,v1,without,0.2682926829268292
qwen3_fewshot,v1,with,0.11392405063291133
qwen3_fewshot,v1,without,0.1428571428571429
qwen3,v2,with,0.021739130434782483
qwen3,v2,without,-0.022727272727272707
qwen3_fewshot,v2,with,0.09090909090909105
qwen3_fewshot,v2,without,-0.12903225806451624
qwen3,v3,with,0.021739130434782483
qwen3,v3,without,-0.04166666666666674
qwen3_fewshot,v3,with,0.021739130434782483
qwen3_fewshot,v3,without,-0.16279069767441867
